Title,Date,Ongoing End Date,Time,End Time,Setup Time,Takedown Time,Library,Location,Primary Event Type,Event Type Option 1,Event Type Option 2,Primary Age Group,Age Group Option 1,Age Group Option 2,Last Modified,Description,Additional Information,Internal Notes,Presenter,Contact Name,Contact Email,Contact Phone,Registration Required,PR Detail,Published Status,Attendance,Registered,Waiting List,Cancelled List,Shared Attendance,Optional Statistical Input 1,Optional Statistical Input 2,Optional Statistical Input 3,Optional Statistical Input 4
Chinese New Year Celebration,14/02/2015,,10:30 AM,12:00 PM,10:30 AM,12:00 PM,Agincourt,Program Room,00-Culture Arts & Entertainment,,,All Ages,,,23/02/2015 5:18:25 PM,"Celebrate the Year of the Sheep at Agincourt Library! Enjoy a traditional Chinese music performance and a Chinese papercutting demonstration & craft for kids, in celebration of the Lunar New Year. Everyone is welcome!",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Family Story Time,14/02/2015,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Agincourt,Children's Department,00-Reading Programs & Storytimes,01-Ready for Reading Storytimes,,Pre-School Children,School-Age Children,,23/02/2015 5:18:25 PM,"Children and their caregivers enjoy stories, songs, rhymes and fingerplays.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Chess in the Library,14/02/2015,,10:30 AM,12:00 PM,10:30 AM,12:00 PM,Malvern,,00-Hobbies Crafts & Games,,,Teen,Adult,School-Age Children,18/02/2015 10:13:03 AM,"Interested in learning how to play chess? Want to play chess with others in the community? Join us for chess in the library! Featuring CFC & CMA rated games, casual chess, beginner lessons, chess puzzle competitions, simultaneous exhibitions by masters and much more! Ages 10+. Please call (416) 396-8969 for more information.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Family Storytime,14/02/2015,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Malvern,,00-Reading Programs & Storytimes,,,All Children,,,18/02/2015 10:13:03 AM,"Stories, songs, rhymes and crafts for children with parents or caregivers.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Ready for Reading: Saturday Family StoryTime,14/02/2015,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Albion,,00-Reading Programs & Storytimes,,,All Ages,,,7/4/2015 14:22,"Songs, stories, and rhymes for the whole family. Drop-in only.",,,,,,,NO,,No,,0,0,0,,0,0,0,0
Ready for Reading: Saturday Family StoryTime,14/02/2015,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Albion,,00-Reading Programs & Storytimes,,,All Ages,,,7/4/2015 14:20,"Songs, stories, and rhymes for the whole family. Drop-in only.",,,,,,,NO,,No,,0,0,0,,0,0,0,0
Ready for Reading: Saturday Family StoryTime,14/02/2015,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Albion,,00-Reading Programs & Storytimes,,,All Ages,,,7/4/2015 14:17,"Songs, stories, and rhymes for the whole family. Drop-in only.",,,,,,,NO,,No,,0,0,0,,0,0,0,0
Play & Learn,16/02/2015,,2:00 PM,3:30 PM,1:40 PM,3:50 PM,Evelyn Gregory,Auditorium,00-Culture Arts & Entertainment,,,Pre-School Children,,,27/02/2015 1:41:05 PM,"In cooperation with Macaulay Child Development, this interactive 8-week program offers children and their caregivers a chance to play with toys, games, puzzles, art, songs and stories. It is a great way to gain valuable information on child development and how playing helps develop important early learning skills.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Crafts for Kids,16/02/2015,,5:00 PM,6:00 PM,5:00 PM,6:00 PM,Albion,,00-Hobbies Crafts & Games,,,All Children,,,20/02/2015 3:27:53 PM,"Get in touch with your creative side! Make something to take home using paper, scissors, colours and your imagination! All ages welcome. Parents must be present for children 6 years and younger. Drop-in only.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Crafts for Kids,16/02/2015,,5:00 PM,6:00 PM,5:00 PM,6:00 PM,Albion,,00-Hobbies Crafts & Games,,,All Children,,,20/02/2015 3:27:53 PM,"Get in touch with your creative side! Make something to take home using paper, scissors, colours and your imagination! All ages welcome. Parents must be present for children 6 years and younger. Drop-in only.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Classes,17/02/2015,,9:30 AM,12:30 PM,9:30 AM,12:30 PM,Malvern,,00-ESL & Newcomer Programs,,,Adult,Older Adult,,2/3/2015 10:45,"Adult English classes, CLB levels 1-2, co-sponsored with Toronto Catholic District School Board. Tuesdays, Wednesdays and Thursdays from 9:30 a.m. to 12:30 p.m. Please see instructor during class hours to register.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Family Time,17/02/2015,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Rexdale,,00-Reading Programs & Storytimes,,,All Children,,,30/04/2015 1:56:42 PM,The Fluffy and Patches Rabbit Story Time.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Family Time,17/02/2015,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Rexdale,,00-Reading Programs & Storytimes,,,All Children,,,30/04/2015 1:54:54 PM,The Fluffy and Patches Rabbit Story Time.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Family Time,17/02/2015,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Rexdale,,00-Reading Programs & Storytimes,,,All Children,,,30/04/2015 1:51:11 PM,The Fluffy and Patches Rabbit Story Time.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Preschool Time,17/02/2015,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Rexdale,,00-Reading Programs & Storytimes,,,All Children,,,28/03/2015 9:23:57 AM,The Fluffy and Patches Rabbit Story Time.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Ready for Reading: Toddler Time,17/02/2015,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Albion,,01-Ready for Reading Storytimes,,,Pre-School Children,,,20/02/2015 3:27:53 PM,"Enjoy songs, rhymes, stories and bounces with your toddler! Tuesdays from 10:30-11am. Drop-in only. Ages 18-36 months.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Family Time,17/02/2015,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Rexdale,,00-Reading Programs & Storytimes,,,All Children,,,28/03/2015 9:23:57 AM,The Fluffy and Patches Rabbit Story Time.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Toddler Time,17/02/2015,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Albion,,01-Ready for Reading Storytimes,,,Pre-School Children,,,20/02/2015 3:27:53 PM,"Enjoy songs, rhymes, stories and bounces with your toddler! Tuesdays from 10:30-11am. Drop-in only. Ages 18-36 months.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Baby Time,17/02/2015,24/03/2015,1:00 PM,1:00 PM,1:00 PM,1:00 PM,City Hall,,01-Ready for Reading Storytimes,,,Pre-School Children,,,30/03/2015 12:42:28 PM,"Bouncing and tickling rhymes, songs and stories for babies from birth to 18 months with their parents or caregivers. No registration required. On Tuesdays, from 10:30 - 11:00 am February 17,24, March 3,10,17,24 May 5,12,19,26,June 2,9",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Baby Time,17/02/2015,24/03/2015,1:00 PM,1:00 PM,1:00 PM,1:00 PM,City Hall,,01-Ready for Reading Storytimes,,,Pre-School Children,,,14/05/2015 11:43:25 AM,"Bouncing and tickling rhymes, songs and stories for babies from birth to 18 months with their parents or caregivers. No registration required. On Tuesdays, from 10:30 - 11:00 am September 15,22,29 October 6,13,20",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Ready for Reading: Baby Time,17/02/2015,,1:00 PM,2:30 PM,1:00 PM,2:30 PM,Albion,,01-Ready for Reading Storytimes,,,Pre-School Children,,,20/02/2015 3:27:53 PM,"Enjoy 30 minutes of action songs, tickles, rhymes and stories followed up with a discussion with a Toronto Public Health Nurse on topics such as infant growth, development, nutrition and so much more! Ages 0 – 12 months. Register in person or call 416-394-5170.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Memoir Club,17/02/2015,,1:30 PM,3:00 PM,1:30 PM,3:00 PM,Rexdale,,00-Book Clubs & Writers Groups,,,Adult,,,28/03/2015 9:23:57 AM,Share and improve your memoir writing skills with your writing group.,"{""smallImageURL"":""http://node2.nirvanix.com/6FilYi_6~O_jMaY5fM_~eVuzOhx8~PUz81NGN9l~cBATAuA/razuna/3434/9406110F001E4BF18E9993492E9F0B98/img/F75DEAEF8603433D86B9333FBC4C3C53/EVT143103_F75DEAEF8603433D86B9333FBC4C3C53.jpg"",""mediumImageURL"":""http://node2.nirvanix.com/onNoX2o-~--ATr3pUWt~_H_EmTxP~bMbLKMAfoU~kH1eDWo/razuna/3434/9406110F001E4BF18E9993492E9F0B98/img/869655651DB74D43AB9CDDEC97AD1F58/EVT143103_869655651DB74D43AB9CDDEC97AD1F58.jpg""}",,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Health Care in Ontario,17/02/2015,,2:00 PM,4:00 PM,2:00 PM,4:00 PM,Agincourt,Program Room,00-ESL & Newcomer Programs,00-Health & Wellness,,Older Adult,Adult,,23/02/2015 5:18:25 PM,"Learn more about Health Care in Ontario. To register please phone Wen at 647-388-3762. In partnership with Citizenship and Immigration Canada, Catholic Crosscultural Services & Toronto Public Library.","{""smallImageURL"":""http://tpl.razuna.com/assets/3434/CAA7BD43240B4D2EAB39B8415C9D9FDC/img/0A9A5DB3FD6B463981DA1E2B45F03682/LSP-81x100.jpg"",""mediumImageURL"":""http://tpl.razuna.com/assets/3434/CAA7BD43240B4D2EAB39B8415C9D9FDC/img/C8C041399DA34CA4829332CFFBD7246A/LSP-150x185.jpg""}",,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Malvern Afternoon Book Club,17/02/2015,,2:00 PM,3:00 PM,2:00 PM,3:00 PM,Malvern,,00-Book Clubs & Writers Groups,,,Adult,Older Adult,,2/3/2015 10:45,Join us for an exciting afternoon of great books and conversation. Please register and pick up your copy at the Information Desk. All are welcome!,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
After School Library Club,17/02/2015,,4:00 PM,5:00 PM,4:00 PM,5:00 PM,Agincourt,Children's Department,00-Homework Help Leadership & After School,00-Hobbies Crafts & Games,,School-Age Children,,,23/02/2015 5:18:25 PM,"Looking for something to do after school? Join our Library Club and learn new things, make stuff and have fun! Open to kids in grades 4-6. Register at the Agincourt Branch Children's dept. or call 416-396-8952.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
After School Maker Program,17/02/2015,,4:00 PM,5:00 PM,4:00 PM,5:00 PM,Malvern,,00-Hobbies Crafts & Games,01-Maker Programs,,School-Age Children,,,2/3/2015 10:45,Put your imagination to work and join us for this craft and creative play program after school Tuesdays. Drop in.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
LEGO Club,17/02/2015,,4:00 PM,5:00 PM,3:30 PM,5:30 PM,Evelyn Gregory,Auditorium,00-Hobbies Crafts & Games,00-Homework Help Leadership & After School,00-Culture Arts & Entertainment,All Children,,,27/02/2015 1:41:05 PM,What can you create with LEGO? Show off your skills! Join us for LEGO building challenges where you can use your imagination to create your own masterpieces.,"{""smallImageURL"":""http://tpl.razuna.com/assets/3434/6345E0BE4B3F4E149DE28B0AB63485BD/img/9E9779F36D8846F68925223D04F38C41/lego-150x185_9E9779F36D8846F68925223D04F38C41.jpg"",""mediumImageURL"":""http://tpl.razuna.com/assets/3434/6345E0BE4B3F4E149DE28B0AB63485BD/img/D22F2B250F88447BBE466D7B95E4C827/lego-150x185_D22F2B250F88447BBE466D7B95E4C827.jpg""}",,,,,,NO,,Yes,,0,0,0,,0,0,0,0
After School Club,17/02/2015,,5:00 PM,7:00 PM,5:00 PM,7:00 PM,Albion,,00-Homework Help Leadership & After School,,,School-Age Children,,,7/4/2015 14:16,"Looking for something to do after school? Join our After School Club on Tuesdays and learn new things, make stuff, meet other kids and have fun! Open to kids ages 6 to 12. Drop-in only.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
After School Club at Albion Library with Lego™ WeDo,17/02/2015,,5:30 PM,7:30 PM,5:30 PM,7:30 PM,Albion,,00-Homework Help Leadership & After School,,,School-Age Children,,,20/02/2015 3:27:53 PM,"Join our Tuesday After School Club and play with the Lego™ Education WeDO system. Learn more about literacy, science, math, technology & engineering! For ages 6 to 12. For more information or to register, call 416-394-5170. Maximum 20 participants.","{""smallImageURL"":""http://tpl.razuna.com/assets/3434/6345E0BE4B3F4E149DE28B0AB63485BD/img/9E9779F36D8846F68925223D04F38C41/lego-150x185_9E9779F36D8846F68925223D04F38C41.jpg"",""mediumImageURL"":""http://tpl.razuna.com/assets/3434/6345E0BE4B3F4E149DE28B0AB63485BD/img/D22F2B250F88447BBE466D7B95E4C827/lego-150x185_D22F2B250F88447BBE466D7B95E4C827.jpg""}",,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Knitting and Crochet Circle,17/02/2015,,6:00 PM,7:30 PM,6:00 PM,7:30 PM,Albion,,00-Hobbies Crafts & Games,00-Culture Arts & Entertainment,,Adult,Older Adult,,22/05/2015 12:46:49 PM,"Are you looking for help with your knitting or crochet project? Want to learn how to knit or crochet with a fun group of people? Join our Knitting & Crochet Circle! The circle is led by friendly Albion residents every Tuesday nights at the Albion Branch. Beginners and those who are completely new to knitting and crochet are warmly welcome. Free program. No registration required. For more information, please call the Albion Branch at 416-394-5170.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
After School Homework Club,17/02/2015,,7:00 PM,8:00 PM,7:00 PM,8:00 PM,Malvern,,00-Homework Help Leadership & After School,,,School-Age Children,,,2/3/2015 10:45,"Tutors provide homework help and additional educational activities for students from grades 1-6. Call the branch to register, 416-396-8970 or visit www.thechampinitiative.org. This program is cosponsored with The Champ Initiative.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Classes,18/02/2015,,9:30 AM,12:30 PM,9:30 AM,12:30 PM,Malvern,,00-ESL & Newcomer Programs,,,Adult,Older Adult,,2/3/2015 10:45,"Adult English classes, CLB levels 1-2, co-sponsored with Toronto Catholic District School Board. Tuesdays, Wednesdays and Thursdays from 9:30 a.m. to 12:30 p.m. Please see instructor during class hours to register.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Toddler Time,18/02/2015,,10:00 AM,10:30 AM,10:00 AM,10:30 AM,Agincourt,Program Room,00-Reading Programs & Storytimes,01-Ready for Reading Storytimes,,Pre-School Children,,,23/02/2015 5:18:25 PM,"Children and their caregivers enjoy stories, songs and rhymes.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Toddler Time,18/02/2015,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Malvern,,01-Ready for Reading Storytimes,,,Pre-School Children,,,2/3/2015 10:45,"Stories, songs and rhymes for toddlers age 19-35 months with their parents or caregivers. Drop-in program.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Ready for Reading: Preschool Time,18/02/2015,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Albion,,01-Ready for Reading Storytimes,,,Pre-School Children,,,21/02/2015 9:06:27 AM,"Stories, songs and rhymes for children 3 to 5 years and their caregivers. Drop-in only.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Babytime (Birth to 18 months),18/02/2015,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Yorkville,Art Gallery,00-Reading Programs & Storytimes,,,Pre-School Children,,,23/02/2015 4:04:50 PM,"Bouncing and tickling rhymes, songs and stories for babies from birth to 18 months with their parents or caregivers. Registration begins on Monday, January 19th at 10 a.m. in person or by phone at 416-393-7660.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Computer Classes: February,18/02/2015,,1:00 PM,3:00 PM,1:00 PM,3:00 PM,Downsview,,00-Computer & Library Training,,,Adult,Older Adult,Teen,26/02/2015 4:04:43 PM,February 11 .....Word Basics Part 1 : Create and Edit a File February 18......Word Basics Part 2 : Formatting and Saving Files February 25......Excel Basics Registration is required. Call 416-395-5720 or ask at the Information Desk at the Downsview Library.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Stay Driven: Hip Hop motivational workshop,18/02/2015,,2:00 PM,3:00 PM,2:00 PM,3:00 PM,Malvern,,01-Black History Month,,,School-Age Children,,,2/3/2015 10:45,"Celebrate Black History month with Guinness World record holder Duane Gibson a.k.a ""D.O"". Discover the value of literacy, creative speaking and writing. Listen as Duane shares his personal stories through freestyle rap. For group or class bookings please contact the branch.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Move That Mouse,18/02/2015,,2:00 PM,4:00 PM,2:00 PM,4:00 PM,Albion,Learning Centre,00-Computer & Library Training,,,Adult,Older Adult,,21/02/2015 9:06:27 AM,Learn basic mouse and keyboard skills in this hands-on class for absolute beginners. Please register by calling 416-394-5170 or at the adult information desk.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Web Basics II,18/02/2015,,2:00 PM,3:30 PM,2:00 PM,3:30 PM,Agincourt,Learning Centre,00-Computer & Library Training,,,Adult,Older Adult,,23/02/2015 5:18:25 PM,Learn more about search engines and the Library’s website. Web Basics is the recommended prerequisite. Basic keyboarding and mouse skills required. Please register in person or call 416-396-8950.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Kidz Gaming Night,18/02/2015,,6:30 PM,7:30 PM,6:30 PM,7:30 PM,Albion,,00-Hobbies Crafts & Games,,,All Children,,,21/02/2015 9:06:27 AM,"Play games like FIFA 2014, Just Dance 2014 and Wii Sports Resort, includes bowling! Show us your skillz! Drop-in only.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Classes,19/02/2015,,9:30 AM,12:30 PM,9:30 AM,12:30 PM,Malvern,,00-ESL & Newcomer Programs,,,Adult,Older Adult,,2/3/2015 10:45,"Adult English classes, CLB levels 1-2, co-sponsored with Toronto Catholic District School Board. Tuesdays, Wednesdays and Thursdays from 9:30 a.m. to 12:30 p.m. Please see instructor during class hours to register.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Excel,19/02/2015,,10:00 AM,12:00 PM,10:00 AM,12:00 PM,Albion,Learning Centre,00-Computer & Library Training,,,Adult,Older Adult,,25/02/2015 11:59:42 AM,"Learn to create charts and tables, sort your data and more using Microsoft Excel 2013. Basic keyboarding and mouse skills required. Please register at the adult information desk or by calling 416-394-5170.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Baby Time,19/02/2015,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Malvern,,01-Ready for Reading Storytimes,,,Pre-School Children,,,2/3/2015 10:45,"Bouncing & tickling rhymes, songs and stories for babies 0-18 mths with parents and caregivers. Drop in.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Baby Time,19/02/2015,,2:00 PM,2:30 PM,2:00 PM,2:30 PM,Agincourt,Children's Department,00-Reading Programs & Storytimes,01-Ready for Reading Storytimes,,Pre-School Children,,,23/02/2015 5:18:25 PM,"Babies and their caregivers enjoy bouncing, tickling and lap rhymes, songs and stories.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Web Basics II,19/02/2015,,2:00 PM,3:30 PM,2:00 PM,3:30 PM,Agincourt,Learning Centre,00-Computer & Library Training,,,Adult,Older Adult,,23/02/2015 5:18:25 PM,Learn more about search engines and using online translation tools. Learn how to input Chinese characters using the IME pad. Basic keyboarding and mouse skills required. This class is conducted in Cantonese. Please register in person or call 416-396-8950,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
After School Building Club,19/02/2015,,4:00 PM,5:00 PM,4:00 PM,5:00 PM,Agincourt,Program Room,00-Hobbies Crafts & Games,,,School-Age Children,,,23/02/2015 5:18:25 PM,Come and create using a variety of building materials. Program is for Grades 4-6. Contact branch for more details at 416-396-8952.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Learning Together,19/02/2015,,4:00 PM,5:30 PM,4:00 PM,5:30 PM,Albion,,00-Reading Programs & Storytimes,,,School-Age Children,,,4/3/2015 16:09,"Bring your 2 to 6 year old and join us for stories, songs, rhymes and a craft. Presented by Braeburn Ontario Early Years Centre. Drop-in only.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Financial Literacy 101,19/02/2015,,4:15 PM,5:15 PM,4:00 PM,5:30 PM,Downsview,Program Room,z DO NOT USE-Personal Finance,z DO NOT USE-Business Legal & Personal Finance,,Teen,Adult,,29/09/2015 9:16:59 AM,"Learn the essential skills to help you with budgeting, saving and even investing. Michael Goldberg, an award winning Educator of Financial Literacy, will tell all that you need to know to be money savvy. Ages 13 and up. Registration is required. Please call 416-395-5720 or ask at the Information Desk.",,,Michael Goldberg,,,,NO,,Yes,,0,0,0,,0,0,0,0
Income Tax Information in English,19/02/2015,,6:00 PM,8:00 PM,6:00 PM,8:00 PM,Agincourt,Program Room,z DO NOT USE-Business Legal & Personal Finance,00-ESL & Newcomer Programs,,Adult,Older Adult,Teen,29/09/2015 9:16:07 AM,"Get updated information on your income tax return, and tips on how to file. Bring all your questions and get answers. To register please call Wen at 647-388-3762. In partnership with Citizenship and Immigration Canada, Catholic Crosscultural Services & Toronto Public Library.","{""smallImageURL"":""http://tpl.razuna.com/assets/3434/CAA7BD43240B4D2EAB39B8415C9D9FDC/img/0A9A5DB3FD6B463981DA1E2B45F03682/LSP-81x100.jpg"",""mediumImageURL"":""http://tpl.razuna.com/assets/3434/CAA7BD43240B4D2EAB39B8415C9D9FDC/img/C8C041399DA34CA4829332CFFBD7246A/LSP-150x185.jpg""}",Staff contact: Elise; LSP contact: Wen,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Call of Gamers: Teen Video Game Nights,19/02/2015,,6:15 PM,7:45 PM,6:15 PM,7:45 PM,Malvern,,00-Hobbies Crafts & Games,,,Teen,School-Age Children,,2/3/2015 10:45,"Join Malvern's Youth Advisory Group for a night of fun and video games including games for Wii, PS3 and XBox 360. No registration required, just drop-in and get your game on!",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Albion Maker Club,19/02/2015,,6:30 PM,7:30 PM,6:30 PM,7:30 PM,Albion,,01-Maker Programs,,,School-Age Children,,,25/02/2015 11:59:42 AM,"Join the Maker Club and create something cool to take home! Learn new skills, try science experiments, explore new technologies. Have fun with crafts. Drop-in only. Limit of 20 children ages 6-12. ** Limit of 40 children for March 19th.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Pajama Time,19/02/2015,,6:30 PM,7:00 PM,6:30 PM,7:00 PM,Malvern,,01-Ready for Reading Storytimes,,,Pre-School Children,,,2/3/2015 10:45,"Bedtime stories, songs, rhymes and activities for children ages 6 and under with their parents and caregivers. Drop-in.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Settlement Services,20/02/2015,,9:00 AM,12:30 PM,9:00 AM,12:30 PM,Malvern,,00-ESL & Newcomer Programs,,,Adult,Older Adult,,2/3/2015 10:45,"Settlement services, including help with immigration documents, health care, access to education and free access to Commissioner of Oaths service are available during this time period. If you are interested in English Conversation Group, please call Mohamed at 416-757-7010 for more information. This program is co-sponsored with Catholic Crosscultural Services (CCS).",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Ready For Reading - Family Time,20/02/2015,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Maryvale,Meeting Room,00-Reading Programs & Storytimes,,,Pre-School Children,,,6/3/2015 17:46,"A half hour of stories, interactive songs, fingerplays and rhymes for children ages 2-5. Limited to 20 children and parents/caregivers. Registration begins Monday, January 5th.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Learning Together,20/02/2015,,4:00 PM,5:30 PM,4:00 PM,5:30 PM,Albion,,00-Reading Programs & Storytimes,,,School-Age Children,,,4/3/2015 16:09,"Bring your 2 to 6 year old and join us for stories, songs, rhymes and a craft. Presented by Braeburn Ontario Early Years Centre. Drop-in only.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Gamerz Challenge,20/02/2015,,4:00 PM,5:00 PM,4:00 PM,5:00 PM,Rexdale,,00-Hobbies Crafts & Games,,,All Ages,,,28/03/2015 9:23:57 AM,"Bring your game face and challenge your friends to X-Box, PS3 and Wii.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Afterschool Game Club,20/02/2015,,4:00 PM,6:00 PM,4:00 PM,6:00 PM,Albion,,00-Homework Help Leadership & After School,,,School-Age Children,,,25/02/2015 12:04:27 PM,Play some video games and board games too! Join in on the fun! Join in on the fun! All Ages. Drop-in only.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Friday Night Knit/Crochet Club,20/02/2015,,6:00 PM,8:00 PM,5:45 PM,8:15 PM,Malvern,,00-Hobbies Crafts & Games,,,All Ages,,,2/3/2015 10:45,"Share your interest in knitting, crocheting and other wool crafts. Read and discuss knitting fiction. Learn how to crochet puppets and toys to accompany your children's favorite stories. Patterns and instruction provided. Bring your own materials. Group meets the first and third Friday of every month.",,,Kellie Scott,Kellie Scott,kscott@torontopubliclibrary.ca,416-396-8970,NO,,Yes,,0,0,0,,0,0,0,0
Digital Photography Workshop,21/02/2015,,10:00 AM,11:30 AM,9:30 AM,12:00 PM,Evelyn Gregory,,00-Culture Arts & Entertainment,00-Hobbies Crafts & Games,,All Children,,,27/02/2015 1:41:05 PM,Learn how to take and edit great pictures in this 8-week digital photography program. Students will have the opportunity to learn from an accomplished photographer in this Arts for Children & Youth workshop. Ages 9-13. Please call Evelyn Gregory to register.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Computer User Education,21/02/2015,,10:00 AM,12:00 PM,10:00 AM,12:00 PM,Malvern,,00-Computer & Library Training,,,Adult,Older Adult,,2/3/2015 10:45,"The Malvern Branch provides basic computer training on various topics of interest. Classes offered include: Move that Mouse Word Basics 1 & 2 PowerPoint Basics Excel Basics 1 & 2 Web Basics 1 & 2 Space is limited and some classes require basic computer skills. For more information and to register, please call the branch at 416-396-8969.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Family Story Time,21/02/2015,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Agincourt,Program Room,00-Reading Programs & Storytimes,01-Ready for Reading Storytimes,,Pre-School Children,School-Age Children,,24/02/2015 12:29:58 PM,"Children and their caregivers enjoy stories, songs, rhymes and fingerplays.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Chess in the Library,21/02/2015,,10:30 AM,12:00 PM,10:30 AM,12:00 PM,Malvern,,00-Hobbies Crafts & Games,,,Teen,Adult,School-Age Children,2/3/2015 10:45,"Interested in learning how to play chess? Want to play chess with others in the community? Join us for chess in the library! Featuring CFC & CMA rated games, casual chess, beginner lessons, chess puzzle competitions, simultaneous exhibitions by masters and much more! Ages 10+. Please call (416) 396-8969 for more information.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Family Storytime,21/02/2015,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Malvern,,00-Reading Programs & Storytimes,,,All Children,,,2/3/2015 10:45,"Stories, songs, rhymes and crafts for children with parents or caregivers.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Monthly Puppet Shows,21/02/2015,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Downsview,Program Room,01-Ready for Reading Storytimes,,,All Children,,,26/02/2015 4:04:43 PM,Saturdays at Downsview are back! Join us for fun monthly puppet shows from February til May. No registration required. Ideal for ages 3 to 8. Call 416-395-5720 for more information. February 21: The Three Bears March 21: Brendan the Big-Hearted Bear April 18: Beans for Tiger May 16: Harry by the Sea,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Ready for Reading: Saturday Family StoryTime,21/02/2015,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Albion,,00-Reading Programs & Storytimes,,,All Ages,,,7/4/2015 14:22,"Songs, stories, and rhymes for the whole family. Drop-in only.",,,,,,,NO,,No,,0,0,0,,0,0,0,0
